Data Year	County Number	County Name	District Number	District Type	District Name	School Number	School Name	ECSU Number	Economic Development Region	School Classification	Grade	Total Enrollment	Filter Groups	Total Female Count	Total Female Percent	Total Male Count	Total Male Percent	Total American Indian or Alaska Native Count	Total American Indian or Alaska Native Percent	American Indian or Alaska Native Female Count	American Indian or Alaska Native Male Count	Total Asian Count	Total Asian Percent	Asian Female Count	Asian Male Count	Total Native Hawaiian or Pacific Islander Count	Total Native Hawaiian or Pacific Islander Percent	Native Hawaiian or Pacific Islander Female Count	Native Hawaiian or Pacific Islander Male Count	Total Hispanic or Latino Count	Total Hispanic or Latino Percent	Hispanic or Latino Female Count	Hispanic or Latino Male Count	Total Black or African American Count	Total Black or African American Percent	Black or African American Female Count	Black or African American Male Count	Total White Count	Total White Percent	White Female Count	White Male Count	Total Two or More Races Count	Total Two or More Races Percent	Two or More Races Female Count	Two or More Races Male Count	Total Students of Color or American Indian Count	Total Students of Color or American Indian Percent	Total Students Eligible for Free or Reduced Priced Meals Count	Total Students Eligible for Free or Reduced Priced Meals Percent	Total Students Receiving Special Education Services Count	Total Students Receiving Special Education Services Percent	Total English Learner Identified Count	Total English Learner Identified Percent	Total Students Experiencing Homelessness Count	Total Students Experiencing Homelessness Percent	Additional Suppression Free or Reduced Priced Meals Applied	Additional Suppression Special Education Applied	Additional Suppression English Learner Identified Applied	Additional Suppression Homeless Applied
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	32	Black Hawk Middle	11	11	20	6	306	N	148	48.37%	158	51.63%	2	0.65%	0	2	33	10.78%	21	12	0	0.00%	0	0	25	8.17%	15	10	69	22.55%	34	35	150	49.02%	65	85	27	8.82%	13	14	156	50.98%	72	23.53%	60	19.61%	16	5.23%	0	0.00%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	32	Black Hawk Middle	11	11	20	7	264	N	133	50.38%	131	49.62%	2	0.76%	2	0	31	11.74%	17	14	0	0.00%	0	0	31	11.74%	13	18	55	20.83%	30	25	123	46.59%	59	64	22	8.33%	12	10	141	53.41%	59	22.35%	45	17.05%	21	7.95%	0	0.00%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	32	Black Hawk Middle	11	11	20	8	283	N	156	55.12%	127	44.88%	0	0.00%	0	0	25	8.83%	13	12	0	0.00%	0	0	30	10.60%	15	15	61	21.55%	34	27	143	50.53%	81	62	24	8.48%	13	11	140	49.47%	58	20.49%	56	19.79%	12	4.24%	0	0.00%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	32	Black Hawk Middle	11	11	20	All Grades	853	N	437	51.23%	416	48.77%	4	0.47%	2	2	89	10.43%	51	38	0	0.00%	0	0	86	10.08%	43	43	185	21.69%	98	87	416	48.77%	205	211	73	8.56%	38	35	437	51.23%	189	22.16%	161	18.87%	49	5.74%	0	0.00%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	34	ABE Diploma Program	11	11	42	12	32	N	16	50.00%	16	50.00%	0	0.00%	0	0	4	12.50%	3	1	0	0.00%	0	0	10	31.25%	4	6	5	15.63%	1	4	13	40.63%	8	5	0	0.00%	0	0	19	59.38%							0	0.00%	Y	Y	Y	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	34	ABE Diploma Program	11	11	42	All Grades	32	N	16	50.00%	16	50.00%	0	0.00%	0	0	4	12.50%	3	1	0	0.00%	0	0	10	31.25%	4	6	5	15.63%	1	4	13	40.63%	8	5	0	0.00%	0	0	19	59.38%							0	0.00%	Y	Y	Y	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	38	Rosemount Senior High	11	11	32	9	664	N	328	49.40%	336	50.60%	3	0.45%	1	2	43	6.48%	21	22	0	0.00%	0	0	50	7.53%	25	25	48	7.23%	21	27	476	71.69%	242	234	44	6.63%	18	26	188	28.31%			78	11.75%	25	3.77%			Y	N	N	Y
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	38	Rosemount Senior High	11	11	32	10	665	N	315	47.37%	350	52.63%	1	0.15%	0	1	35	5.26%	16	19	0	0.00%	0	0	48	7.22%	24	24	53	7.97%	28	25	491	73.83%	230	261	37	5.56%	17	20	174	26.17%	83	12.48%	78	11.73%	19	2.86%	0	0.00%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	38	Rosemount Senior High	11	11	32	11	605	N	266	43.97%	339	56.03%	1	0.17%	0	1	38	6.28%	17	21	1	0.17%	1	0	37	6.12%	18	19	53	8.76%	25	28	445	73.55%	193	252	30	4.96%	12	18	160	26.45%	69	11.40%	75	12.40%	14	2.31%	1	0.17%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	38	Rosemount Senior High	11	11	32	12	596	N	287	48.15%	309	51.85%	5	0.84%	3	2	45	7.55%	22	23	1	0.17%	0	1	37	6.21%	24	13	53	8.89%	24	29	432	72.48%	203	229	23	3.86%	11	12	164	27.52%			65	10.91%	10	1.68%	0	0.00%	Y	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	38	Rosemount Senior High	11	11	32	All Grades	2530	N	1196	47.27%	1334	52.73%	10	0.40%	4	6	161	6.36%	76	85	2	0.08%	1	1	172	6.80%	91	81	207	8.18%	98	109	1844	72.89%	868	976	134	5.30%	58	76	686	27.11%	277	10.95%	296	11.70%	68	2.69%			N	N	N	Y
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	39	Rosemount Middle	11	11	20	6	407	N	191	46.93%	216	53.07%	0	0.00%	0	0	29	7.13%	17	12	0	0.00%	0	0	36	8.85%	12	24	23	5.65%	12	11	291	71.50%	138	153	28	6.88%	12	16	116	28.50%			46	11.30%			0	0.00%	Y	N	Y	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	39	Rosemount Middle	11	11	20	7	423	N	212	50.12%	211	49.88%	1	0.24%	1	0	16	3.78%	7	9	0	0.00%	0	0	24	5.67%	10	14	33	7.80%	16	17	325	76.83%	168	157	24	5.67%	10	14	98	23.17%			40	9.46%	15	3.55%	0	0.00%	Y	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	39	Rosemount Middle	11	11	20	8	433	N	218	50.35%	215	49.65%	0	0.00%	0	0	31	7.16%	19	12	0	0.00%	0	0	22	5.08%	11	11	23	5.31%	11	12	326	75.29%	162	164	31	7.16%	15	16	107	24.71%	48	11.09%	35	8.08%			0	0.00%	N	N	Y	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	39	Rosemount Middle	11	11	20	All Grades	1263	N	621	49.17%	642	50.83%	1	0.08%	1	0	76	6.02%	43	33	0	0.00%	0	0	82	6.49%	33	49	79	6.25%	39	40	942	74.58%	468	474	83	6.57%	37	46	321	25.42%	137	10.85%	121	9.58%	34	2.69%	0	0.00%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	41	Eagan Senior High	11	11	32	9	571	N	274	47.99%	297	52.01%	5	0.88%	2	3	62	10.86%	30	32	0	0.00%	0	0	64	11.21%	34	30	53	9.28%	28	25	363	63.57%	169	194	24	4.20%	11	13	208	36.43%	68	11.91%	76	13.31%	22	3.85%	0	0.00%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	41	Eagan Senior High	11	11	32	10	572	N	287	50.17%	285	49.83%	1	0.17%	1	0	60	10.49%	30	30	1	0.17%	0	1	64	11.19%	31	33	55	9.62%	25	30	353	61.71%	182	171	38	6.64%	18	20	219	38.29%	66	11.54%			23	4.02%	1	0.17%	N	Y	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	41	Eagan Senior High	11	11	32	11	464	N	242	52.16%	222	47.84%	0	0.00%	0	0	50	10.78%	32	18	0	0.00%	0	0	48	10.34%	27	21	43	9.27%	15	28	307	66.16%	160	147	16	3.45%	8	8	157	33.84%	45	9.70%			24	5.17%	0	0.00%	N	Y	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	41	Eagan Senior High	11	11	32	12	525	N	241	45.90%	284	54.10%	3	0.57%	1	2	70	13.33%	29	41	0	0.00%	0	0	57	10.86%	25	32	36	6.86%	18	18	343	65.33%	160	183	16	3.05%	8	8	182	34.67%	44	8.38%	61	11.62%	14	2.67%	0	0.00%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	41	Eagan Senior High	11	11	32	All Grades	2132	N	1044	48.97%	1088	51.03%	9	0.42%	4	5	242	11.35%	121	121	1	0.05%	0	1	233	10.93%	117	116	187	8.77%	86	101	1366	64.07%	671	695	94	4.41%	45	49	766	35.93%	223	10.46%	249	11.68%	83	3.89%	1	0.05%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	58	Rosemount Area Learning Center	11	11	41	10	9	Y	4	44.44%	5	55.56%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	2	22.22%	1	1	1	11.11%	0	1	2	22.22%	1	1	4	44.44%	2	2	7	77.78%									Y	Y	Y	Y
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	58	Rosemount Area Learning Center	11	11	41	11	35	N	15	42.86%	20	57.14%	4	11.43%	2	2	0	0.00%	0	0	0	0.00%	0	0	7	20.00%	3	4	5	14.29%	0	5	11	31.43%	6	5	8	22.86%	4	4	24	68.57%							0	0.00%	Y	Y	Y	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	58	Rosemount Area Learning Center	11	11	41	12	87	N	34	39.08%	53	60.92%	1	1.15%	0	1	4	4.60%	2	2	0	0.00%	0	0	29	33.33%	13	16	20	22.99%	7	13	22	25.29%	8	14	11	12.64%	4	7	65	74.71%	29	33.33%	19	21.84%	12	13.79%	0	0.00%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	58	Rosemount Area Learning Center	11	11	41	All Grades	131	N	53	40.46%	78	59.54%	5	3.82%	2	3	4	3.05%	2	2	0	0.00%	0	0	38	29.01%	17	21	26	19.85%	7	19	35	26.72%	15	20	23	17.56%	10	13	96	73.28%	50	38.17%			17	12.98%			N	Y	N	Y
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	60	School of Environmental Studies	11	11	32	11	174	N	124	71.26%	50	28.74%	0	0.00%	0	0	6	3.45%	5	1	0	0.00%	0	0	12	6.90%	11	1	10	5.75%	8	2	135	77.59%	93	42	11	6.32%	7	4	39	22.41%	24	13.79%					0	0.00%	N	Y	Y	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	60	School of Environmental Studies	11	11	32	12	165	N	110	66.67%	55	33.33%	0	0.00%	0	0	11	6.67%	9	2	0	0.00%	0	0	13	7.88%	8	5	5	3.03%	3	2	126	76.36%	84	42	10	6.06%	6	4	39	23.64%	14	8.48%			0	0.00%	0	0.00%	N	Y	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	60	School of Environmental Studies	11	11	32	All Grades	339	N	234	69.03%	105	30.97%	0	0.00%	0	0	17	5.01%	14	3	0	0.00%	0	0	25	7.37%	19	6	15	4.42%	11	4	261	76.99%	177	84	21	6.19%	13	8	78	23.01%	38	11.21%	55	16.22%			0	0.00%	N	N	Y	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	86	Falcon Ridge Middle	11	11	20	6	342	N	173	50.58%	169	49.42%	1	0.29%	1	0	24	7.02%	12	12	0	0.00%	0	0	49	14.33%	23	26	50	14.62%	26	24	190	55.56%	100	90	28	8.19%	11	17	152	44.44%	65	19.01%	55	16.08%	26	7.60%	0	0.00%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	86	Falcon Ridge Middle	11	11	20	7	340	N	151	44.41%	189	55.59%	2	0.59%	0	2	25	7.35%	7	18	3	0.88%	2	1	52	15.29%	25	27	52	15.29%	23	29	182	53.53%	83	99	24	7.06%	11	13	158	46.47%	79	23.24%	43	12.65%	23	6.76%			N	N	N	Y
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	86	Falcon Ridge Middle	11	11	20	8	366	N	184	50.27%	182	49.73%	1	0.27%	1	0	22	6.01%	10	12	0	0.00%	0	0	59	16.12%	25	34	55	15.03%	21	34	206	56.28%	117	89	23	6.28%	10	13	160	43.72%	76	20.77%	55	15.03%	21	5.74%	0	0.00%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	86	Falcon Ridge Middle	11	11	20	All Grades	1048	N	508	48.47%	540	51.53%	4	0.38%	2	2	71	6.77%	29	42	3	0.29%	2	1	160	15.27%	73	87	157	14.98%	70	87	578	55.15%	300	278	75	7.16%	32	43	470	44.85%	220	20.99%	153	14.60%	70	6.68%			N	N	N	Y
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	88	Eastview Senior High	11	11	32	9	594	N	298	50.17%	296	49.83%	2	0.34%	1	1	77	12.96%	39	38	3	0.51%	2	1	42	7.07%	21	21	98	16.50%	50	48	331	55.72%	164	167	41	6.90%	21	20	263	44.28%	87	14.65%	72	12.12%			0	0.00%	N	N	Y	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	88	Eastview Senior High	11	11	32	10	629	N	320	50.87%	309	49.13%	1	0.16%	0	1	75	11.92%	41	34	0	0.00%	0	0	41	6.52%	19	22	86	13.67%	43	43	382	60.73%	189	193	44	7.00%	28	16	247	39.27%	89	14.15%	70	11.13%	24	3.82%	0	0.00%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	88	Eastview Senior High	11	11	32	11	586	N	302	51.54%	284	48.46%	1	0.17%	1	0	59	10.07%	38	21	0	0.00%	0	0	42	7.17%	16	26	100	17.06%	49	51	348	59.39%	179	169	36	6.14%	19	17	238	40.61%	73	12.46%	54	9.22%	16	2.73%	1	0.17%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	88	Eastview Senior High	11	11	32	12	493	N	243	49.29%	250	50.71%	1	0.20%	1	0	66	13.39%	40	26	1	0.20%	1	0	34	6.90%	14	20	55	11.16%	27	28	321	65.11%	151	170	15	3.04%	9	6	172	34.89%	46	9.33%	50	10.14%			0	0.00%	N	N	Y	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	88	Eastview Senior High	11	11	32	All Grades	2302	N	1163	50.52%	1139	49.48%	5	0.22%	3	2	277	12.03%	158	119	4	0.17%	3	1	159	6.91%	70	89	339	14.73%	169	170	1382	60.03%	683	699	136	5.91%	77	59	920	39.97%	295	12.81%	246	10.69%	68	2.95%	1	0.04%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	93	Scott Highlands Middle	11	11	20	6	414	N	199	48.07%	215	51.93%	2	0.48%	1	1	55	13.29%	31	24	0	0.00%	0	0	29	7.00%	14	15	45	10.87%	19	26	243	58.70%	121	122	40	9.66%	13	27	171	41.30%	55	13.29%	71	17.15%	15	3.62%	0	0.00%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	93	Scott Highlands Middle	11	11	20	7	406	N	211	51.97%	195	48.03%	1	0.25%	1	0	45	11.08%	22	23	0	0.00%	0	0	33	8.13%	18	15	45	11.08%	25	20	256	63.05%	134	122	26	6.40%	11	15	150	36.95%	63	15.52%	45	11.08%			0	0.00%	N	N	Y	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	93	Scott Highlands Middle	11	11	20	8	416	N	205	49.28%	211	50.72%	1	0.24%	1	0	50	12.02%	26	24	0	0.00%	0	0	27	6.49%	14	13	55	13.22%	17	38	249	59.86%	126	123	34	8.17%	21	13	167	40.14%	50	12.02%	49	11.78%			2	0.48%	N	N	Y	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	93	Scott Highlands Middle	11	11	20	All Grades	1236	N	615	49.76%	621	50.24%	4	0.32%	3	1	150	12.14%	79	71	0	0.00%	0	0	89	7.20%	46	43	145	11.73%	61	84	748	60.52%	381	367	100	8.09%	45	55	488	39.48%	168	13.59%	165	13.35%	40	3.24%	2	0.16%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	97	Apple Valley Senior High	11	11	32	9	503	N	230	45.73%	273	54.27%	4	0.80%	2	2	25	4.97%	13	12	1	0.20%	1	0	112	22.27%	43	69	127	25.25%	67	60	189	37.57%	78	111	45	8.95%	26	19	314	62.43%	149	29.62%	79	15.71%	56	11.13%	0	0.00%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	97	Apple Valley Senior High	11	11	32	10	482	N	219	45.44%	263	54.56%	6	1.24%	2	4	23	4.77%	12	11	3	0.62%	2	1	90	18.67%	36	54	109	22.61%	47	62	214	44.40%	98	116	37	7.68%	22	15	268	55.60%	126	26.14%	73	15.15%	44	9.13%	0	0.00%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	97	Apple Valley Senior High	11	11	32	11	414	N	189	45.65%	225	54.35%	1	0.24%	1	0	13	3.14%	7	6	0	0.00%	0	0	93	22.46%	42	51	102	24.64%	50	52	177	42.75%	78	99	28	6.76%	11	17	237	57.25%	110	26.57%	77	18.60%	44	10.63%	3	0.72%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	97	Apple Valley Senior High	11	11	32	12	392	N	180	45.92%	212	54.08%	3	0.77%	3	0	16	4.08%	6	10	0	0.00%	0	0	61	15.56%	34	27	93	23.72%	37	56	199	50.77%	92	107	20	5.10%	8	12	193	49.23%	82	20.92%	60	15.31%	30	7.65%	2	0.51%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	97	Apple Valley Senior High	11	11	32	All Grades	1791	N	818	45.67%	973	54.33%	14	0.78%	8	6	77	4.30%	38	39	4	0.22%	3	1	356	19.88%	155	201	431	24.06%	201	230	779	43.50%	346	433	130	7.26%	67	63	1012	56.50%	467	26.07%	289	16.14%	174	9.72%	5	0.28%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	98	Valley Middle	11	11	20	6	347	N	183	52.74%	164	47.26%	2	0.58%	2	0	15	4.32%	10	5	0	0.00%	0	0	51	14.70%	34	17	84	24.21%	47	37	165	47.55%	76	89	30	8.65%	14	16	182	52.45%	98	28.24%	59	17.00%	24	6.92%	0	0.00%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	98	Valley Middle	11	11	20	7	359	N	170	47.35%	189	52.65%	0	0.00%	0	0	12	3.34%	7	5	0	0.00%	0	0	45	12.53%	25	20	99	27.58%	46	53	172	47.91%	74	98	31	8.64%	18	13	187	52.09%	95	26.46%	49	13.65%	28	7.80%	0	0.00%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	98	Valley Middle	11	11	20	8	373	N	191	51.21%	182	48.79%	3	0.80%	0	3	15	4.02%	6	9	0	0.00%	0	0	58	15.55%	34	24	101	27.08%	56	45	167	44.77%	79	88	29	7.77%	16	13	206	55.23%	120	32.17%	56	15.01%	25	6.70%	0	0.00%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	98	Valley Middle	11	11	20	All Grades	1079	N	544	50.42%	535	49.58%	5	0.46%	2	3	42	3.89%	23	19	0	0.00%	0	0	154	14.27%	93	61	284	26.32%	149	135	504	46.71%	229	275	90	8.34%	48	42	575	53.29%	313	29.01%	164	15.20%	77	7.14%	0	0.00%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	100	Dakota Ridge School	11	11	50	1	1	Y	0	0.00%	1	100.00%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	1	100.00%	0	1	0	0.00%	0	0	0	0.00%									Y	Y	Y	Y
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	100	Dakota Ridge School	11	11	50	2	2	Y	0	0.00%	2	100.00%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	1	50.00%	0	1	1	50.00%	0	1	0	0.00%	0	0	1	50.00%									Y	Y	Y	Y
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	100	Dakota Ridge School	11	11	50	3	5	Y	1	20.00%	4	80.00%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	2	40.00%	1	1	3	60.00%	0	3	0	0.00%	0	0	2	40.00%									Y	Y	Y	Y
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	100	Dakota Ridge School	11	11	50	4	8	Y	0	0.00%	8	100.00%	1	12.50%	0	1	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	3	37.50%	0	3	2	25.00%	0	2	2	25.00%	0	2	6	75.00%									Y	Y	Y	Y
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	100	Dakota Ridge School	11	11	50	5	7	Y	1	14.29%	6	85.71%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	6	85.71%	1	5	1	14.29%	0	1	1	14.29%									Y	Y	Y	Y
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	100	Dakota Ridge School	11	11	50	6	6	Y	1	16.67%	5	83.33%	1	16.67%	0	1	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	1	16.67%	0	1	3	50.00%	0	3	1	16.67%	1	0	3	50.00%									Y	Y	Y	Y
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	100	Dakota Ridge School	11	11	50	7	14	N	2	14.29%	12	85.71%	1	7.14%	0	1	1	7.14%	0	1	0	0.00%	0	0	1	7.14%	0	1	3	21.43%	0	3	5	35.71%	0	5	3	21.43%	2	1	9	64.29%				>=90%			1	7.14%	Y	Y	Y	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	100	Dakota Ridge School	11	11	50	8	12	N	1	8.33%	11	91.67%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	3	25.00%	0	3	3	25.00%	0	3	5	41.67%	1	4	1	8.33%	0	1	7	58.33%	7	58.33%		>=90%	0	0.00%	0	0.00%	N	Y	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	100	Dakota Ridge School	11	11	50	9	9	Y	0	0.00%	9	100.00%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	4	44.44%	0	4	5	55.56%	0	5	0	0.00%	0	0	4	44.44%									Y	Y	Y	Y
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	100	Dakota Ridge School	11	11	50	10	8	Y	3	37.50%	5	62.50%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	2	25.00%	2	0	2	25.00%	1	1	3	37.50%	0	3	1	12.50%	0	1	5	62.50%									Y	Y	Y	Y
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	100	Dakota Ridge School	11	11	50	11	14	N	7	50.00%	7	50.00%	1	7.14%	0	1	2	14.29%	0	2	0	0.00%	0	0	2	14.29%	2	0	0	0.00%	0	0	9	64.29%	5	4	0	0.00%	0	0	5	35.71%				>=90%	0	0.00%	0	0.00%	Y	Y	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	100	Dakota Ridge School	11	11	50	12	27	N	13	48.15%	14	51.85%	1	3.70%	1	0	0	0.00%	0	0	0	0.00%	0	0	2	7.41%	1	1	8	29.63%	3	5	16	59.26%	8	8	0	0.00%	0	0	11	40.74%	10	37.04%		>=90%			0	0.00%	N	Y	Y	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	100	Dakota Ridge School	11	11	50	All Grades	113	N	29	25.66%	84	74.34%	5	4.42%	1	4	3	2.65%	0	3	0	0.00%	0	0	10	8.85%	5	5	27	23.89%	5	22	59	52.21%	15	44	9	7.96%	3	6	54	47.79%	48	42.48%		>=90%	6	5.31%	2	1.77%	N	Y	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	704	Dakota Valley Learning Center	11	11	50	ECSE	454	N	144	31.72%	310	68.28%	1	0.22%	0	1	26	5.73%	8	18	0	0.00%	0	0	64	14.10%	19	45	61	13.44%	13	48	275	60.57%	98	177	27	5.95%	6	21	179	39.43%	43	9.47%		>=90%	0	0.00%	0	0.00%	N	Y	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	704	Dakota Valley Learning Center	11	11	50	All Grades	454	N	144	31.72%	310	68.28%	1	0.22%	0	1	26	5.73%	8	18	0	0.00%	0	0	64	14.10%	19	45	61	13.44%	13	48	275	60.57%	98	177	27	5.95%	6	21	179	39.43%	43	9.47%		>=90%	0	0.00%	0	0.00%	N	Y	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	705	Rosemount Elementary	11	11	10	KG	114	N	63	55.26%	51	44.74%	0	0.00%	0	0	7	6.14%	5	2	0	0.00%	0	0	5	4.39%	2	3	12	10.53%	8	4	83	72.81%	45	38	7	6.14%	3	4	31	27.19%	17	14.91%	9	7.89%	11	9.65%			N	N	N	Y
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	705	Rosemount Elementary	11	11	10	1	109	N	57	52.29%	52	47.71%	0	0.00%	0	0	3	2.75%	1	2	0	0.00%	0	0	10	9.17%	4	6	11	10.09%	6	5	75	68.81%	42	33	10	9.17%	4	6	34	31.19%	28	25.69%	15	13.76%	15	13.76%	0	0.00%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	705	Rosemount Elementary	11	11	10	2	124	N	63	50.81%	61	49.19%	0	0.00%	0	0	1	0.81%	1	0	0	0.00%	0	0	12	9.68%	5	7	13	10.48%	7	6	86	69.35%	46	40	12	9.68%	4	8	38	30.65%	18	14.52%	10	8.06%	11	8.87%	0	0.00%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	705	Rosemount Elementary	11	11	10	3	130	N	77	59.23%	53	40.77%	0	0.00%	0	0	5	3.85%	3	2	0	0.00%	0	0	4	3.08%	3	1	17	13.08%	13	4	93	71.54%	50	43	11	8.46%	8	3	37	28.46%	24	18.46%	12	9.23%	12	9.23%	0	0.00%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	705	Rosemount Elementary	11	11	10	4	134	N	60	44.78%	74	55.22%	2	1.49%	2	0	4	2.99%	4	0	0	0.00%	0	0	9	6.72%	3	6	16	11.94%	6	10	94	70.15%	40	54	9	6.72%	5	4	40	29.85%	21	15.67%	23	17.16%	10	7.46%			N	N	N	Y
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	705	Rosemount Elementary	11	11	10	5	136	N	71	52.21%	65	47.79%	1	0.74%	0	1	5	3.68%	3	2	0	0.00%	0	0	8	5.88%	6	2	20	14.71%	11	9	92	67.65%	47	45	10	7.35%	4	6	44	32.35%	25	18.38%	18	13.24%	4	2.94%	0	0.00%	N	N	N	N
20-21	19	Dakota	196	1	Rosemount-Apple Valley-Eagan	705	Rosemount Elementary	11	11	10	All Grades	747	N	391	52.34%	356	47.66%	3	0.40%	2	1	25	3.35%	17	8	0	0.00%	0	0	48	6.43%	23	25	89	11.91%	51	38	523	70.01%	270	253	59	7.90%	28	31	224	29.99%	133	17.80%	87	11.65%	63	8.43%			N	N	N	Y
